0,1
0.001,98.58190918
0.002,113.25
0.003,61.35992432
0.004,-11
0.005,-64.03582764
0.006,-76.62207031
0.007,-52.64630127
0.008,-13
0.009,17.14562988
0.01,24.23431396
0.011,9.326843262
0.012,-15
0.013,-34.75067139
0.014,-39.85064697
0.015,-30.32781982
0.016,-14
0.017,-2.003601074
0.018,0.245117188
0.019,-6.613586426
0.02,-17
0.021,-25.6385498
0.022,-28.06060791
0.023,-24.40692139
0.024,-18
0.025,-14.03240967
0.026,-13.92431641
0.027,-16.78210449
0.028,-20
0.029,-22.3371582
0.03,-22.04986572
0.031,-19.47387695
0.032,-16
0.033,-14.28894043
0.034,-14.23327637
0.035,-15.15325928
0.036,-16
0.037,-17.30944824
0.038,-18.25488281
0.039,-18.79467773
0.04,-19
0.041,-20.61340332
0.042,-21.50305176
0.043,-21.31762695
0.044,-20
0.045,-19.54888916
0.046,-18.45245361
0.047,-17.11505127
0.048,-16
0.049,-17.09393311
0.05,-18.29034424
0.051,-19.05541992
0.052,-19
0.053,-19.73901367
0.054,-19.45050049
0.055,-18.375
0.056,-17
0.057,-17.5
0.058,-18.02935791
0.059,-18.28649902
0.06,-18
0.061,-18.76177979
0.062,-18.59710693
0.063,-17.55670166
0.064,-16
0.065,-16.11083984
0.066,-16.19238281
0.067,-16.17364502
0.068,-16
0.069,-17.37023926
0.07,-18.24511719
0.071,-18.44354248
0.072,-18
0.073,-18.78967285
0.074,-18.91882324
0.075,-18.293396
0.076,-17
0.077,-16.987854
0.078,-16.46185303
0.079,-15.42700195
0.08,-14
0.081,-14.05010986
0.082,-13.62341309
0.083,-12.57556152
0.084,-11
0.085,-10.91766357
0.086,-10.65344238
0.087,-10.30548096
0.088,-10
0.089,-11.49200439
0.09,-12.58666992
0.091,-12.8270874
0.092,-12
0.093,-11.92181396
0.094,-10.86877441
0.095,-9.084777832
0.096,-7
0.097,-6.751831055
0.098,-6.489196777
0.099,-5.966918945
0.1,-5
0.101,-5.258666992
0.102,-4.786682129
0.103,-3.601135254
0.104,-2
0.105,-2.116271973
0.106,-2.215270996
0.107,-2.205627441
0.108,-2
0.109,-3.238830566
0.11,-3.781616211
0.111,-3.363952637
0.112,-2
0.113,-1.646057129
0.114,-0.583007813
0.115,1.061218262
0.116,3
0.117,3.169189453
0.118,3.353515625
0.119,3.628601074
0.12,4
0.121,2.71862793
0.122,1.837402344
0.123,1.589111328
0.124,2
0.125,1.211853027
0.126,1.109069824
0.127,1.7421875
0.128,3
0.129,2.95123291
0.13,3.451416016
0.131,4.524169922
0.132,6
0.133,5.857543945
0.134,5.845581055
0.135,5.933410645
0.136,6
